"기능섹션","테스트케이스ID","테스트케이스제목","테스트유형","사전조건","테스트절차","기대결과","우선순위","출처"
"반려동물 프로필 등록","TC-015","프로필 삭제 시 캐릭터·일기 동반 삭제","Happy Path","캐릭터와 일기가 생성되어 있는 반려동물 프로필 존재","해당 프로필을 삭제","프로필과 함께 연결된 캐릭터·일기가 모두 삭제되어 목록에서 조회되지 않음","P2","기획서기반"
"반려동물 프로필 등록","TC-016","대표 반려동물로 지정된 프로필 삭제 시도","Edge Case","여러 마리 중 1마리가 대표 반려동물로 지정된 상태","대표로 지정된 프로필을 삭제","대표 지정이 해제되고 다른 프로필이 자동 지정되거나 재지정 안내가 표시되며 크래시가 발생하지 않음","P1","AI추가"
"AI 캐릭터 생성","TC-017","정상 캐릭터 생성 요청","Happy Path","대표 사진이 등록된 프로필 존재","성격 키워드 3개 선택 후 AI 캐릭터 만들기 클릭","15~30초 내 정면/측면/전신 캐릭터 3종 카드와 성격 요약 문구가 표시됨","P0","기획서기반"
"AI 캐릭터 생성","TC-018","대표 사진 없이 캐릭터 생성 시도","Unhappy Path","대표 사진이 등록되지 않은 프로필 존재","AI 캐릭터 만들기 진입 시도","대표 사진 등록을 유도하는 안내가 표시되고 생성이 시작되지 않음","P1","기획서기반"
"AI 캐릭터 생성","TC-019","성격 키워드 0개 선택 후 생성 시도(최소 개수 미정)","Edge Case","대표 사진이 등록된 프로필 존재","성격 키워드를 하나도 선택하지 않고 AI 캐릭터 만들기 클릭","최소 1개 이상 선택이 필요하다는 안내가 표시되거나 키워드 없이도 생성되는 기준이 명확히 정의되어 동작함","P2","AI추가"
"AI 캐릭터 생성","TC-020","성격 키워드 4개 이상 선택 시도(최대 3개 제한)","Unhappy Path","성격 키워드가 이미 3개 선택된 상태","4번째 키워드 선택 시도","4번째 선택이 차단되거나 선택 시 안내가 표시됨","P2","기획서기반"
"AI 캐릭터 생성","TC-021","캐릭터 생성 중 네트워크 연결 끊김","Edge Case","캐릭터 생성이 진행 중인 상태(로딩 화면 표시 중)","생성 진행 중 네트워크 연결을 강제로 차단","생성 실패 안내와 재시도 옵션이 표시되고 무한 로딩으로 남지 않음","P0","AI추가"
"AI 캐릭터 생성","TC-022","AI 분석 신뢰도 기준 미달 사진으로 생성 시도(AI 폴백)","Edge Case","반려동물이 아닌 사물·풍경 사진이 대표 사진으로 등록된 상태","AI 캐릭터 만들기 클릭","분석 실패 안내와 재업로드 유도 메시지가 표시되며 무의미한 캐릭터가 강제로 생성되지 않음","P1","AI추가"
"AI 캐릭터 생성","TC-023","재생성 1일 3회 한도 초과 시도","Edge Case","당일 재생성을 3회 모두 사용한 상태","다시 생성 버튼 클릭 시도","한도 초과 안내가 표시되고 남은 횟수 0이 표시되며 버튼이 비활성화됨","P1","AI추가"
"AI 캐릭터 생성","TC-024","캐릭터 미생성 상태의 빈 화면","Edge Case","캐릭터를 아직 저장하지 않은 프로필 존재","프로필 또는 캐릭터 목록 화면 진입","아직 생성된 캐릭터가 없습니다 빈 상태 안내가 표시됨","P2","AI추가"
"AI 캐릭터 생성","TC-025","재생성 시 변형 캐릭터 생성 및 잔여 횟수 갱신","Happy Path","캐릭터가 1회 생성되어 결과가 표시된 상태","다시 생성 버튼 클릭","직전 결과와 다른 변형 캐릭터 3종이 생성되고 남은 재생성 횟수가 1 감소하여 표시됨","P2","기획서기반"
"AI 캐릭터 생성","TC-026","캐릭터 저장 없이 화면 이탈 시도","Unhappy Path","캐릭터 생성 결과가 표시된 상태(저장 전)","내 캐릭터로 저장 없이 뒤로가기 또는 다른 화면으로 이동","저장하지 않은 캐릭터는 반영되지 않으며 재진입 시 이전 프로필 상태가 유지됨","P2","기획서기반"
"AI 일기 자동생성","TC-027","오늘의 키워드 선택 후 수동 일기 생성","Happy Path","캐릭터가 저장된 프로필 존재","오늘의 키워드 선택 후 오늘의 일기 쓰기 클릭","200~400자의 1인칭 일기와 캐릭터 이미지·날짜가 함께 생성되어 표시됨","P0","기획서기반"
"AI 일기 자동생성","TC-028","오후 9시 기준 자동 일기 생성","Happy Path","당일 사진 추가 업로드 또는 활동 기록이 있는 상태","오후 9시가 되는 시점까지 대기","사용자 조작 없이 자동으로 일기가 생성되어 일기장에 저장됨","P0","기획서기반"
"AI 일기 자동생성","TC-029","캐릭터 미생성 상태에서 일기 생성 시도","Unhappy Path","캐릭터가 아직 생성되지 않은 프로필 존재","오늘의 일기 쓰기 클릭 시도","캐릭터 생성을 먼저 유도하는 안내가 표시되고 일기 생성이 시작되지 않음","P1","기획서기반"
"AI 일기 자동생성","TC-030","사용자 수정 시 글자수 제한 초과(수정 시 기준 미정)","Edge Case","일기가 1건 생성되어 조회 가능한 상태","일기 내용을 400자를 초과하도록 직접 수정 시도","수정 시 글자수 상한 적용 여부가 명확히 안내되며 초과 저장 시 오류 없이 일관된 처리가 이루어짐","P2","AI추가"
"AI 일기 자동생성","TC-031","일기 생성 중 네트워크 타임아웃","Edge Case","일기 생성이 진행 중인 상태","생성 진행 중 네트워크 연결을 강제로 차단하거나 응답 지연 유발","생성 실패 및 타임아웃 안내와 재시도 옵션이 표시되고 무한 로딩으로 남지 않음","P0","AI추가"
"AI 일기 자동생성","TC-032","활동 데이터 부족으로 유의미한 일기 생성 실패(AI 폴백)","Edge Case","당일 사진·활동 기록·키워드가 전혀 없는 상태","오늘의 일기 쓰기 클릭","기본 템플릿 일기 제공 또는 데이터 부족 안내 후 재시도를 유도하는 폴백이 동작함","P1","AI추가"
"AI 일기 자동생성","TC-033","일기 생성 언어를 영어로 변경 후 생성","Happy Path","설정 화면에서 일기 생성 언어를 영어로 변경 완료","변경 이후 새 일기 생성","이후 생성되는 일기가 영어로 작성됨","P1","기획서기반"
"AI 일기 자동생성","TC-034","미지원 언어(예: 프랑스어) 기기에서 일기 생성(폴백 미정)","Edge Case","기기 언어가 한국어/영어/일본어 외 언어로 설정된 상태","일기 생성 실행","지원 언어 중 하나(예: 영어)로 자동 폴백되어 생성되거나 언어 선택을 요구하는 안내가 표시됨","P2","AI추가"
"AI 일기 자동생성","TC-035","일기 0건 상태의 일기장 빈 화면","Edge Case","일기를 한 번도 생성하지 않은 신규 프로필 상태","일기장 탭 진입","작성된 일기가 없습니다 빈 상태 안내가 표시됨","P2","AI추가"
"AI 일기 자동생성","TC-036","일기 삭제 기능 검증","Unhappy Path","일기가 1건 이상 생성된 상태","해당 일기를 삭제","삭제한 일기가 일기장 목록에서 즉시 제거되고 재조회되지 않음","P2","기획서기반"
"커뮤니티 피드","TC-037","정상 게시물 작성 및 피드 노출","Happy Path","캐릭터 또는 일기가 저장된 상태","이미지 첨부, 본문 500자 이내 작성, 해시태그 입력 후 게시 클릭","게시물이 즉시 생성되어 피드 최상단에 노출됨","P1","기획서기반"
"커뮤니티 피드","TC-038","본문 501자 입력 시 게시 차단","Unhappy Path","게시물 작성 화면 진입 상태","본문에 501자 이상 텍스트 입력 후 게시 시도","500자 제한 초과 안내가 표시되고 게시가 차단됨","P2","기획서기반"
"커뮤니티 피드","TC-039","사진 5장 첨부 시도(최대 4장 제한)","Unhappy Path","게시물 작성 화면에서 사진 4장이 이미 첨부된 상태","5번째 사진 첨부 시도","4장을 초과하는 첨부가 차단되고 안내가 표시됨","P2","기획서기반"
"커뮤니티 피드","TC-040","해시태그 11개 입력 시도(최대 10개 제한)","Unhappy Path","게시물 작성 화면에서 해시태그 10개가 이미 입력된 상태","11번째 해시태그 입력 시도","10개를 초과하는 해시태그 입력이 차단되고 안내가 표시됨","P2","기획서기반"
"커뮤니티 피드","TC-041","본문·사진 모두 없이 게시 시도(최소 콘텐츠 기준 미정)","Edge Case","게시물 작성 화면 진입 상태","본문과 사진을 모두 비운 채 게시 클릭","최소 1개 이상의 콘텐츠(텍스트 또는 이미지)가 필요하다는 안내가 표시되고 게시가 차단됨","P2","AI추가"
"커뮤니티 피드","TC-042","팔로우·게시물 없는 신규 계정의 빈 피드","Edge Case","팔로우한 사용자와 게시물 작성 이력이 없는 신규 계정 상태","피드 화면 진입","아직 게시물이 없습니다 등 빈 상태 안내가 표시됨","P2","AI추가"
"커뮤니티 피드","TC-043","무한 스크롤 중 네트워크 끊김","Edge Case","피드에서 게시물을 스크롤 중인 상태","다음 20개 게시물 로딩 시점에 네트워크 연결을 강제로 차단","로딩 실패 안내와 재시도 옵션이 표시되고 로딩 스피너가 무한히 표시되지 않음","P1","AI추가"
"커뮤니티 피드","TC-044","비로그인 상태에서 게시물 작성·좋아요 시도","Edge Case","로그아웃 상태 또는 비로그인 상태","게시물 작성, 좋아요, 댓글 중 하나를 시도","로그인 유도 화면이 표시되고 해당 동작이 차단됨","P1","AI추가"
"커뮤니티 피드","TC-045","해시태그 검색 결과 탭 구분 표시","Happy Path","해당 해시태그를 사용한 게시물이 존재하는 상태","검색창에 해시태그 입력 후 검색","게시물 탭과 사용자 탭으로 구분된 검색 결과가 표시됨","P2","기획서기반"
"커뮤니티 피드","TC-046","검색 결과 0건 상태","Edge Case","검색어에 해당하는 게시물·사용자가 존재하지 않는 상태","존재하지 않는 해시태그 또는 닉네임으로 검색","검색 결과가 없습니다 빈 상태 안내가 표시됨","P2","AI추가"
"커뮤니티 피드","TC-047","팔로우 사용자 신규 게시물 우선 노출","Happy Path","특정 사용자를 팔로우한 상태","팔로우한 사용자가 새 게시물을 작성","해당 게시물이 피드에 우선적으로 노출됨","P2","기획서기반"
"알림","TC-048","캐릭터 생성 완료 푸시 알림 발송","Happy Path","알림 권한이 허용되고 푸시 알림이 ON인 상태","캐릭터 생성을 완료","캐릭터 생성 완료 푸시 알림이 즉시 수신됨","P2","기획서기반"
"알림","TC-049","알림 종류별 ON/OFF 토글 즉시 반영","Happy Path","알림 설정 화면 진입 상태","특정 알림 종류를 OFF로 토글","설정이 즉시 반영되고 화면 내 토글 상태가 OFF로 유지됨","P1","기획서기반"
"알림","TC-050","알림 OFF 설정 시 실제 미수신 검증","Unhappy Path","좋아요 알림이 OFF로 설정된 상태","다른 사용자가 내 게시물에 좋아요 누름","좋아요 알림이 발송되지 않음","P1","기획서기반"
"알림","TC-051","앱 재시작 후 알림 설정값 유지 여부(저장 방식 미정)","Edge Case","특정 알림을 OFF로 변경한 직후 앱을 강제 종료한 상태","앱을 재실행하여 알림 설정 화면 재진입","OFF로 설정한 값이 유지되어 표시됨","P1","AI추가"
"알림","TC-052","OS 알림 권한 미허용 상태에서 알림 이벤트 발생","Edge Case","OS 설정에서 앱의 알림 권한이 거부된 상태","알림을 유발하는 이벤트(예: 캐릭터 생성 완료) 발생","푸시 알림 대신 앱 내 배지 또는 인앱 알림으로 대체 표시되고 크래시가 발생하지 않음","P2","AI추가"
"알림","TC-053","알림 0건 상태의 빈 알림함","Edge Case","수신된 알림이 없는 신규 계정 상태","알림함 화면 진입","알림이 없습니다 빈 상태 안내가 표시됨","P2","AI추가"
"알림","TC-054","알림 설정 변경 중 네트워크 끊김","Edge Case","알림 설정 화면에서 토글 변경을 시도하는 상태","토글 변경 시점에 네트워크 연결을 강제로 차단","서버 저장 실패 안내가 표시되고 재시도 전까지 로컬 표시와 실제 서버 값의 불일치가 사용자에게 고지됨","P1","AI추가"
"계정 및 인증","TC-055","이메일 회원가입 및 인증 완료","Happy Path","가입 화면 진입 상태","이메일·8자 이상 비밀번호·닉네임 입력 후 가입, 24시간 내 인증 메일 링크 클릭","계정이 생성되고 인증 완료 후 정상 로그인이 가능함","P0","기획서기반"
"계정 및 인증","TC-056","소셜 로그인(구글/애플/카카오) 가입","Happy Path","가입 화면 진입 상태","구글 계정으로 소셜 로그인 진행","별도 이메일 인증 없이 계정이 생성되고 즉시 로그인됨","P0","기획서기반"
"계정 및 인증","TC-057","비밀번호 7자 입력 시 가입 차단","Unhappy Path","이메일 회원가입 화면 진입 상태","비밀번호 필드에 7자 입력 후 가입 시도","8자 미달 안내가 표시되고 가입이 차단됨","P2","기획서기반"
"계정 및 인증","TC-058","비밀번호 최대 길이 미정 상태에서 초장문 입력(경계값)","Edge Case","이메일 회원가입 화면 진입 상태","비밀번호 필드에 300자 이상 문자열 입력 후 가입 시도","허용 여부가 명확히 안내되며 서버 오류나 앱 크래시 없이 처리됨","P1","AI추가"
"계정 및 인증","TC-059","만 14세 미만 생년월일로 가입 시도","Unhappy Path","이메일 회원가입 화면 진입 상태","만 14세 미만에 해당하는 생년월일 입력 후 가입 시도","연령 미달 안내가 표시되고 가입이 차단됨","P1","기획서기반"
"계정 및 인증","TC-060","이메일 인증 24시간 초과 후 링크 클릭","Unhappy Path","가입 후 24시간이 경과했고 이메일 인증을 완료하지 않은 상태","인증 이메일의 링크 클릭","인증 만료 안내가 표시되고 인증 메일 재발송 옵션이 제공됨","P1","기획서기반"
"계정 및 인증","TC-061","닉네임 1자 또는 16자 입력 시도(2~15자 제한)","Unhappy Path","프로필 관리 화면 진입 상태","닉네임을 1자 또는 16자로 입력 후 저장 시도","2~15자 제한 안내가 표시되고 저장이 차단됨","P2","기획서기반"
"계정 및 인증","TC-062","회원가입 처리 중 네트워크 끊김(계정 미생성 위험)","Edge Case","이메일 회원가입 정보 입력을 완료하고 제출한 상태","서버 응답 대기 중 네트워크 연결을 강제로 차단","가입 실패 안내와 재시도가 제공되며 계정이 불완전한 상태로 생성되지 않음","P0","AI추가"
"계정 및 인증","TC-063","계정 삭제 시 전체 데이터 삭제","Happy Path","반려동물·캐릭터·일기·게시물이 있는 계정 상태","삭제 사유 선택, 비밀번호 재확인, 계정 삭제 진행","반려동물 프로필·캐릭터·일기·게시물이 모두 삭제 처리됨","P0","기획서기반"
"계정 및 인증","TC-064","계정 삭제 처리 중 앱 강제 종료","Edge Case","계정 삭제 절차(비밀번호 재확인 이후) 진행 중인 상태","삭제 처리 중 앱을 강제 종료 후 재실행","삭제가 완료된 상태 또는 삭제 전 상태 중 하나로 일관되게 유지되며 데이터 정합성 오류나 복구 불가 상태가 발생하지 않음","P0","AI추가"
"계정 및 인증","TC-065","삭제 후 30일 내 재로그인 시 데이터 복구","Happy Path","계정 삭제 후 10일이 경과한 상태","동일 계정으로 재로그인","삭제 전 반려동물·캐릭터·일기·게시물 데이터가 복구됨","P0","기획서기반"
"계정 및 인증","TC-066","삭제 후 31일 경과 후 재로그인 시도","Unhappy Path","계정 삭제 후 31일이 경과한 상태","동일 계정으로 재로그인 시도","기존 데이터는 영구 삭제되어 복구되지 않고 신규 가입처럼 처리됨","P2","기획서기반"
"계정 및 인증","TC-067","비밀번호 변경 시 현재 비밀번호 오류 입력","Unhappy Path","프로필 관리 화면에서 비밀번호 변경 진입 상태","현재 비밀번호를 잘못 입력 후 변경 시도","현재 비밀번호 불일치 안내가 표시되고 변경이 차단됨","P2","기획서기반"
